id,PetName,Breed,Age,Description
523,Brush-tailed bettong,Bettongia penicillata,4,Female
524,"Skink, african",Mabuya spilogaster,15,Male
525,Levaillant's barbet,Trachyphonus vaillantii,30,Male
526,Desert kangaroo rat,Dipodomys deserti,27,Female
527,Python (unidentified),unavailable,3,Female
528,"Eagle, pallas's fish",Haliaeetus leucoryphus,20,Female
529,Chameleon (unidentified),Chamaelo sp.,26,Female
530,"Otter, north american river",Lutra canadensis,25,Female
531,"Trotter, lily",Actophilornis africanus,7,Male
532,American badger,Taxidea taxus,22,Female
533,"Coot, red-knobbed",Fulica cristata,10,Male
534,"Hawk, red-tailed",Buteo jamaicensis,18,Female
535,African ground squirrel (unidentified),Xerus sp.,4,Male
536,"Zebra, common",Equus burchelli,11,Female
537,European spoonbill,Platalea leucordia,14,Female
538,Laughing kookaburra,Dacelo novaeguineae,9,Female
539,"Macaque, pig-tailed",Macaca nemestrina,23,Female
540,"Gecko, bent-toed",Cyrtodactylus louisiadensis,7,Male
541,Red-tailed hawk,Buteo jamaicensis,7,Male
542,"Owl, great horned",Bubo virginianus,26,Male
543,Sea birds (unidentified),unavailable,17,Female
544,Numbat,Myrmecobius fasciatus,23,Genderfluid
545,Coqui partridge,Francolinus coqui,28,Female
546,Komodo dragon,Varanus komodensis,13,Female
547,Bare-faced go away bird,Lorythaixoides concolor,12,Non-binary
548,"Cow, scottish highland",Bos taurus,25,Male
549,"Bison, american",Bison bison,17,Female
550,Carmine bee-eater,Merops nubicus,8,Genderqueer
551,"Squirrel, smith's bush",Paraxerus cepapi,22,Female
552,Pied cormorant,Phalacrocorax varius,2,Male
553,"Wagtail, african pied",Motacilla aguimp,25,Female
554,"Crab, red lava",Graspus graspus,8,Male
555,"Crake, african black",Limnocorax flavirostra,27,Female
556,"Snake, eastern indigo",Drymarchon corias couperi,12,Male
557,"Kookaburra, laughing",Dacelo novaeguineae,8,Genderfluid
558,Silver-backed jackal,Canis mesomelas,12,Female
559,"Macaque, rhesus",Macaca mulatta,3,Male
560,Suricate,Suricata suricatta,18,Female
561,Spur-winged goose,Plectopterus gambensis,22,Female
562,"Chickadee, black-capped",Parus atricapillus,23,Polygender
563,Black and white colobus,Colobus guerza,16,Female
564,"Puma, south american",Felis concolor,20,Male
565,Nelson ground squirrel,Ammospermophilus nelsoni,5,Male
566,"Peacock, indian",Pavo cristatus,17,Male
567,Silver-backed fox,Vulpes chama,23,Female
568,"Partridge, coqui",Francolinus coqui,21,Female
569,"Rhinoceros, white",Ceratotherium simum,4,Female
570,Ant (unidentified),unavailable,20,Female
571,Four-striped grass mouse,Rhabdomys pumilio,20,Female
572,"Gonolek, burchell's",Laniaurius atrococcineus,16,Female
573,"Snake, tiger",Notechis semmiannulatus,22,Male
574,Nile crocodile,Crocodylus niloticus,25,Female
575,"Dog, bush",Speothos vanaticus,4,Female
576,"Alligator, american",Alligator mississippiensis,2,Male
577,Blackish oystercatcher,Haematopus ater,23,Female
578,Ocelot,Felis pardalis,7,Male
579,"White-eye, pale",Zosterops pallidus,17,Male
580,Silver-backed fox,Vulpes chama,25,Male
581,"Gull, lava",Larus fuliginosus,11,Female
582,Old world fruit bat (unidentified),unavailable,5,Male
583,Pygmy possum,Acrobates pygmaeus,25,Male
584,"Kite, black",Milvus migrans,28,Male
585,"White-eye, cape",Zosterops pallidus,17,Female
586,"Gull, silver",Larus novaehollandiae,15,Male
587,"Hoopoe, eurasian",Upupa epops,21,Male
588,Eastern dwarf mongoose,Helogale undulata,1,Female
589,Gila monster,Heloderma horridum,20,Male
590,"Beaver, eurasian",Castor fiber,12,Male
591,Red-headed woodpecker,Melanerpes erythrocephalus,14,Male
592,Mule deer,Odocoileus hemionus,24,Female
593,King vulture,Sarcorhamphus papa,2,Female
594,Common long-nosed armadillo,Dasypus novemcinctus,13,Agender
595,"Squirrel, eastern fox",Sciurus niger,2,Male
596,Kafue flats lechwe,Kobus leche robertsi,27,Female
597,Common eland,Taurotagus oryx,30,Male
598,Sidewinder,Crotalus cerastes,4,Male
599,"Hornbill, red-billed",Tockus erythrorhyncus,30,Male
600,Crimson-breasted shrike,Laniaurius atrococcineus,20,Female
601,"Plover, blacksmith",Vanellus armatus,22,Male
602,Warthog,Phacochoerus aethiopus,23,Female
603,Ferruginous hawk,Buteo regalis,1,Female
604,Red kangaroo,Macropus rufus,4,Male
605,"Penguin, galapagos",Spheniscus mendiculus,16,Female
606,"Oryx, beisa",Oryx gazella,1,Agender
607,"Crow, house",Corvus brachyrhynchos,19,Female
608,Common long-nosed armadillo,Dasypus novemcinctus,28,Female
609,Paca,Agouti paca,4,Non-binary
610,Emerald green tree boa,Boa caninus,22,Female
611,"Rhea, common",Rhea americana,13,Polygender
612,Pine snake (unidentified),Pituophis melanaleucus,18,Male
613,"Deer, spotted",Axis axis,19,Male
614,"Heron, yellow-crowned night",Nyctanassa violacea,7,Male
615,"Gull, silver",Larus novaehollandiae,1,Female
616,House crow,Corvus brachyrhynchos,16,Male
617,"Falcon, peregrine",Falco peregrinus,11,Non-binary
618,White-necked stork,Ciconia episcopus,9,Female
619,Butterfly (unidentified),unavailable,2,Male
620,Bushpig,Potamochoerus porcus,11,Female
621,White-bellied sea eagle,Haliaetus leucogaster,7,Female
622,"Eagle, african fish",Haliaetus vocifer,23,Female
623,"Ibis, sacred",Threskionis aethiopicus,18,Female
624,"Lynx, african",Felis caracal,3,Male
625,Large cormorant,Phalacrocorax carbo,17,Agender
626,"Beaver, american",Castor canadensis,25,Female
627,Black rhinoceros,Diceros bicornis,25,Male
628,"Otter, small-clawed",Aonyx cinerea,4,Male
629,Royal tern,Thalasseus maximus,18,Male
630,Scarlet macaw,Ara macao,20,Male
631,"Darter, african",Anhinga rufa,25,Female
632,"Magpie, black-backed",Gymnorhina tibicen,25,Male
633,"Macaw, green-winged",Ara chloroptera,7,Female
634,Black-tailed prairie dog,Cynomys ludovicianus,2,Female
635,"Siskin, pine",Carduelis pinus,1,Male
636,Snow goose,Anser caerulescens,29,Female
637,"Capuchin, brown",Cebus apella,2,Male
638,"Phascogale, brush-tailed",Phascogale tapoatafa,8,Female
639,Andean goose,Chloephaga melanoptera,27,Female
640,Indian jackal,Canis aureus,14,Female
641,Sally lightfoot crab,Graspus graspus,15,Genderfluid
642,Western patch-nosed snake,Salvadora hexalepis,5,Female
643,"Cormorant, little",Phalacrocorax niger,28,Non-binary
644,Spotted deer,Axis axis,30,Female
645,"Drongo, fork-tailed",Dicrurus adsimilis,30,Male
646,Giraffe,Giraffe camelopardalis,4,Female
647,"Heron, striated",Butorides striatus,8,Female
648,Kaffir cat,Felis silvestris lybica,20,Male
649,"Cormorant, javanese",Phalacrocorax niger,20,Female
650,Rufous-collared sparrow,Zonotrichia capensis,8,Female
651,"Macaw, blue and yellow",Ara ararauna,19,Male
652,White-throated monitor,Varanus albigularis,27,Female
653,"Goose, cereopsis",Cereopsis novaehollandiae,29,Female
654,"Toucan, red-billed",Ramphastos tucanus,23,Female
655,Great horned owl,Bubo virginianus,14,Male
656,"Antechinus, brown",Antechinus flavipes,6,Male
657,American beaver,Castor canadensis,4,Male
658,"Kangaroo, western grey",Macropus fuliginosus,25,Female
659,"Chickadee, black-capped",Parus atricapillus,28,Female
660,"Nutcracker, clark's",Nucifraga columbiana,12,Female
661,Indian star tortoise,Geochelone elegans,16,Male
662,"Antechinus, brown",Antechinus flavipes,10,Male
663,"Kangaroo, jungle",Macropus agilis,13,Male
664,Small Indian mongoose,Herpestes javanicus,23,Female
665,"Roadrunner, greater",Geococcyx californianus,16,Female
666,"Otter, small-clawed",Aonyx cinerea,27,Male
667,Praying mantis (unidentified),unavailable,19,Female
668,"Goose, snow",Anser caerulescens,19,Female
669,"Turaco, violet-crested",Tauraco porphyrelophus,23,Male
670,"Turtle, long-necked",Chelodina longicollis,1,Genderqueer
671,King cormorant,Phalacrocorax albiventer,4,Female
672,Tarantula,Lasiodora parahybana,9,Male
673,Arctic lemming,Dicrostonyx groenlandicus,21,Male
674,"Flamingo, chilean",Phoenicopterus chilensis,8,Female
675,Hoary marmot,Marmota caligata,10,Female
676,Galapagos sea lion,Zalophus californicus,7,Male
677,"Cat, long-tailed spotted",Felis wiedi or Leopardus weidi,29,Female
678,Carmine bee-eater,Merops nubicus,27,Female
679,Secretary bird,Sagittarius serpentarius,9,Male
680,Small-toothed palm civet,Arctogalidia trivirgata,21,Female
681,"Gull, lava",Larus fuliginosus,26,Non-binary
682,"Genet, small-spotted",Genetta genetta,24,Male
683,"Eland, common",Taurotagus oryx,19,Female
684,"Crane, sarus",Grus antigone,5,Female
685,"Devil, tasmanian",Sarcophilus harrisii,29,Female
686,Bush dog,Speothos vanaticus,13,Female
687,Puku,Kobus vardonii vardoni,12,Male
688,"Flicker, field",Colaptes campestroides,1,Female
689,"Badger, honey",Mellivora capensis,28,Female
690,African lynx,Felis caracal,8,Female
691,"Tortoise, desert",Gopherus agassizii,12,Female
692,"Parrot, hawk-headed",Deroptyus accipitrinus,20,Male
693,"Rattlesnake, horned",Crotalus cerastes,19,Male
694,Sloth bear,Melursus ursinus,1,Female
695,Madagascar hawk owl,Ninox superciliaris,3,Female
696,"Civet, small-toothed palm",Arctogalidia trivirgata,2,Female
697,"Porcupine, african",Hystrix cristata,23,Male
698,Indian mynah,Acridotheres tristis,20,Female
699,Gemsbok,Oryx gazella,17,Female
700,Stanley crane,Anthropoides paradisea,5,Male
701,"Pigeon, feral rock",Columba livia,18,Female
702,Pocket gopher (unidentified),unavailable,12,Female
703,"Kingfisher, malachite",Corythornis cristata,21,Male
704,Eurasian hoopoe,Upupa epops,20,Male
705,Slender-billed cockatoo,Cacatua tenuirostris,2,Female
706,Miner's cat,Bassariscus astutus,27,Female
707,Wattled crane,Bugeranus caruncalatus,20,Agender
708,Barasingha deer,Cervus duvauceli,6,Female
709,"Pelican, great white",Pelecans onocratalus,12,Male
710,"Duiker, gray",Sylvicapra grimma,15,Female
711,"Quail, gambel's",Callipepla gambelii,8,Female
712,Hudsonian godwit,Limosa haemastica,8,Female
713,"Tortoise, galapagos",Geochelone elephantopus,19,Male
714,"Dragon, netted rock",Ctenophorus ornatus,17,Female
715,"Seal, common",Phoca vitulina,26,Female
716,Gray duiker,Sylvicapra grimma,25,Male
717,American woodcock,Scolopax minor,14,Female
718,"Ox, musk",Ovibos moschatus,22,Male
719,Ring-tailed lemur,Lemur catta,15,Female
720,Northern elephant seal,Mirounga angustirostris,20,Male
721,"Iguana, marine",Amblyrhynchus cristatus,18,Female
722,Pocket gopher (unidentified),unavailable,6,Female
723,African elephant,Loxodonta africana,18,Female
724,"Kangaroo, eastern grey",Macropus giganteus,28,Male
725,"Stork, black-necked",Ephippiorhynchus mycteria,24,Male
726,White-nosed coatimundi,Nasua narica,29,Female
727,"Rhinoceros, square-lipped",Ceratotherium simum,28,Male
728,Asian water buffalo,Bubalus arnee,21,Female
729,"Pelican, brown",Pelecanus occidentalis,11,Female
730,"Armadillo, nine-banded",Dasypus novemcinctus,25,Female
731,"Lion, galapagos sea",Zalophus californicus,9,Female
732,Green-backed heron,Butorides striatus,30,Female
733,Lesser mouse lemur,Microcebus murinus,29,Female
734,"Heron, green-backed",Butorides striatus,1,Female
735,Black-tailed tree creeper,Climacteris melanura,3,Male
736,Common zorro,Dusicyon thous,15,Female
737,"Capuchin, white-fronted",Cebus albifrons,13,Male
738,"Whale, southern right",Eubalaena australis,2,Female
739,"Bird, pied butcher",Cracticus nigroagularis,3,Male
740,Collared peccary,Tayassu tajacu,19,Female
741,"Monkey, black spider",Ateles paniscus,2,Male
742,"Tern, white-winged black",Chlidonias leucopterus,22,Female
743,"Bustard, denham's",Neotis denhami,18,Female
744,Green-winged macaw,Ara chloroptera,2,Female
745,"Kangaroo, black-faced",Macropus fuliginosus,25,Female
746,"Possum, common brushtail",Trichosurus vulpecula,21,Female
747,Tsessebe,Damaliscus lunatus,1,Female
748,"Quoll, eastern",Dasyurus viverrinus,14,Female
749,Dama wallaby,Macropus eugenii,5,Female
750,"Lapwing, southern",Vanellus chilensis,20,Female
751,"Crow, american",Corvus brachyrhynchos,19,Female
752,Puku,Kobus vardonii vardoni,21,Bigender
753,"Turtle, eastern box",Terrapene carolina,7,Male
754,"Badger, american",Taxidea taxus,6,Female
755,"Boa, cook's tree",Corallus hortulanus cooki,1,Male
756,Jaguar,Panthera onca,7,Female
757,"Alligator, american",Alligator mississippiensis,14,Male
758,"Phascogale, red-tailed",Phascogale calura,3,Male
759,"Francolin, swainson's",Francolinus swainsonii,18,Male
760,"Lion, australian sea",Neophoca cinerea,25,Female
761,Toddy cat,Paradoxurus hermaphroditus,6,Male
762,Osprey,Pandon haliaetus,4,Male
763,"Goldeneye, barrows",Bucephala clangula,1,Agender
764,"Wallaby, bennett's",Macropus rufogriseus,22,Male
765,"Cockatoo, red-breasted",Eolophus roseicapillus,19,Male
766,Rainbow lory,Trichoglossus haematodus moluccanus,22,Female
767,Eastern quoll,Dasyurus viverrinus,16,Male
768,"Dove, rock",Columba livia,16,Male
769,"Nuthatch, red-breasted",Sitta canadensis,24,Male
770,Grey phalarope,Phalaropus fulicarius,27,Male
771,"Hawk, ferruginous",Buteo regalis,10,Male
772,Kaffir cat,Felis silvestris lybica,6,Female
773,Common long-nosed armadillo,Dasypus novemcinctus,27,Female
774,Civet (unidentified),unavailable,4,Male
775,"Moccasin, water",Agkistrodon piscivorus,30,Male
776,Ring dove,Columba palumbus,28,Male
777,Arctic hare,Lepus arcticus,25,Female
778,"Glider, squirrel",Petaurus norfolcensis,4,Female
779,"Porcupine, indian",Hystrix indica,22,Female
780,"Tarantula, salmon pink bird eater",Lasiodora parahybana,19,Male
781,Pacific gull,Gabianus pacificus,30,Male
782,"Deer, mule",Odocoileus hemionus,22,Male
783,Olive baboon,Papio cynocephalus,24,Female
784,Turkey vulture,Cathartes aura,18,Agender
785,"Tamandua, southern",Tamandua tetradactyla,1,Male
786,Cobra (unidentified),Naja sp.,4,Male
787,Northern fur seal,Callorhinus ursinus,14,Bigender
788,"Cat, tiger",Dasyurus maculatus,17,Male
789,"Dove, white-winged",Zenaida asiatica,17,Male
790,Gaur,Bos frontalis,6,Male
791,Tiger cat,Dasyurus maculatus,25,Female
792,"Seal, harbor",Phoca vitulina,24,Male
793,Pied butcher bird,Cracticus nigroagularis,10,Female
794,"Hornbill, yellow-billed",Tockus flavirostris,27,Female
795,"Colobus, magistrate black",Colobus guerza,12,Male
796,Indian leopard,Panthera pardus,11,Male
797,"Monitor, white-throated",Varanus albigularis,2,Male
798,Raccoon dog,Nyctereutes procyonoides,9,Polygender
799,"Catfish, blue",Ictalurus furcatus,1,Genderfluid
800,"Robin, kalahari scrub",Certotrichas paena,21,Female
801,"Kingfisher, pied",Ceryle rudis,20,Male
802,Small-spotted genet,Genetta genetta,9,Male
803,Raccoon dog,Nyctereutes procyonoides,4,Male
804,Tailless tenrec,Tenrec ecaudatus,30,Male
805,Dusky gull,Larus fuliginosus,29,Male
806,Southern white-crowned shrike,Eurocephalus anguitimens,13,Male
807,American bison,Bison bison,2,Female
808,Burchell's gonolek,Laniaurius atrococcineus,6,Female
809,Warthog,Phacochoerus aethiopus,1,Male
810,"White-eye, pale",Zosterops pallidus,21,Female
811,"Waterbuck, common",Kobus defassa,28,Female
812,"White-eye, cape",Zosterops pallidus,9,Female
813,Capybara,Hydrochoerus hydrochaeris,18,Male
814,"Wolf, common",Canis lupus,13,Female
815,"Lion, african",Panthera leo,1,Female
816,Suricate,Suricata suricatta,21,Female
817,Giant armadillo,Priodontes maximus,24,Male
818,"Beaver, eurasian",Castor fiber,26,Male
819,Black-cheeked waxbill,Estrilda erythronotos,5,Female
820,"Vulture, bengal",Gyps bengalensis,19,Female
821,Western grey kangaroo,Macropus fuliginosus,28,Female
822,Common duiker,Sylvicapra grimma,7,Male
823,"Lizard, giant girdled",Cordylus giganteus,28,Female
824,Arctic hare,Lepus arcticus,25,Female
825,"Moorhen, purple",Porphyrio porphyrio,15,Female
826,Grant's gazelle,Gazella granti,1,Female
827,House sparrow,Passer domesticus,26,Female
828,Slender loris,Loris tardigratus,16,Female
829,"Squirrel, african bush",Paraxerus cepapi,7,Male
830,"Armadillo, common long-nosed",Dasypus novemcinctus,8,Female
831,Orca,Orcinus orca,30,Male
832,Spotted wood sandpiper,Tringa glareola,22,Male
833,Wood pigeon,Columba palumbus,24,Female
834,"Racer, american",Coluber constrictor,1,Female
835,Asian water dragon,Physignathus cocincinus,8,Female
836,"Rhea, common",Rhea americana,28,Male
837,"Hyena, brown",Hyaena brunnea,22,Female
838,Malachite kingfisher,Corythornis cristata,5,Male
839,"Openbill, asian",Anastomus oscitans,26,Male
840,"Butterfly, canadian tiger swallowtail",Papilio canadensis,10,Non-binary
841,Azara's zorro,Pseudalopex gymnocercus,10,Female
842,"Dove, white-winged",Zenaida asiatica,24,Male
843,Grey heron,Ardea cinerea,14,Male
844,"Jacana, african",Actophilornis africanus,11,Male
845,Bobcat,Felis rufus,30,Male
846,Woodchuck,Marmota monax,11,Female
847,"Squirrel, palm",Funambulus pennati,8,Male
848,Crested barbet,Trachyphonus vaillantii,15,Female
849,"Cow, scottish highland",Bos taurus,7,Male
850,"Pelican, eastern white",Pelecans onocratalus,6,Male
851,American beaver,Castor canadensis,6,Male
852,"Partridge, coqui",Francolinus coqui,29,Bigender
853,Pied cormorant,Phalacrocorax varius,3,Male
854,"Peccary, white-lipped",Tayassu pecari,21,Male
855,Tarantula,Lasiodora parahybana,14,Female
856,"Skua, great",Catharacta skua,2,Female
857,"Boar, wild",Sus scrofa,30,Male
858,"Fox, north american red",Vulpes vulpes,3,Male
859,White-browed sparrow weaver,Plocepasser mahali,15,Female
860,"Heron, little",Butorides striatus,18,Male
861,"Lion, south american sea",Otaria flavescens,7,Male
862,Andean goose,Chloephaga melanoptera,29,Female
863,"Plover, three-banded",Charadrius tricollaris,6,Female
864,Kirk's dik dik,Madoqua kirkii,10,Male
865,Rainbow lory,Trichoglossus haematodus moluccanus,25,Male
866,Dama wallaby,Macropus eugenii,24,Female
867,European red squirrel,Sciurus vulgaris,2,Male
868,"Eagle, white-bellied sea",Haliaetus leucogaster,5,Female
869,"Snake, buttermilk",Coluber constrictor,24,Female
870,Four-spotted skimmer,Libellula quadrimaculata,4,Male
871,Agile wallaby,Macropus agilis,19,Male
872,"Rattlesnake, eastern diamondback",Crotalus adamanteus,28,Female
873,Australian sea lion,Neophoca cinerea,25,Male
874,Masked booby,Sula dactylatra,26,Female
875,Glossy ibis,Plegadis falcinellus,19,Female
876,Caracal,Felis caracal,25,Female
877,Puma,Felis concolor,25,Female
878,"Cormorant, neotropic",Phalacrocorax brasilianus,21,Female
879,"Heron, black-crowned night",Nycticorax nycticorax,9,Bigender
880,American racer,Coluber constrictor,17,Female
881,Ringtail,Bassariscus astutus,10,Female
882,Ring-tailed coatimundi,Nasua nasua,9,Female
883,"Kangaroo, jungle",Macropus agilis,6,Female
884,"Nighthawk, common",Chordeiles minor,5,Female
885,Greater flamingo,Phoenicopterus ruber,15,Agender
886,Kinkajou,Potos flavus,3,Male
887,Nilgai,Boselaphus tragocamelus,8,Female
888,Meerkat,Suricata suricatta,19,Female
889,Red-billed hornbill,Tockus erythrorhyncus,12,Female
890,"Booby, blue-faced",Sula dactylatra,27,Male
891,Yellow-bellied marmot,Marmota flaviventris,15,Male
892,"Eagle, bateleur",Terathopius ecaudatus,9,Female
893,Harbor seal,Phoca vitulina,13,Male
894,"Dragon, western bearded",Amphibolurus barbatus,16,Agender
895,House sparrow,Passer domesticus,22,Female
896,"Sandpiper, spotted wood",Tringa glareola,12,Male
897,Mexican boa,Boa constrictor mexicana,28,Female
898,Red brocket,Mazama americana,15,Genderfluid
899,Topi,Damaliscus lunatus,9,Male
900,Little brown bat,Myotis lucifugus,24,Male
901,"Robin, kalahari scrub",Certotrichas paena,18,Female
902,Puma,Felis concolor,25,Male
903,Canadian river otter,Lutra canadensis,25,Non-binary
904,"Macaque, rhesus",Macaca mulatta,12,Male
905,Southern ground hornbill,Bucorvus leadbeateri,25,Male
906,"Boar, wild",Sus scrofa,15,Male
907,"Fox, savanna",Dusicyon thous,4,Female
908,"Weaver, sociable",Philetairus socius,10,Female
909,"Lizard, collared",Crotaphytus collaris,16,Female
910,"Boa, malagasy ground",Acrantophis madagascariensis,23,Female
911,Musk ox,Ovibos moschatus,15,Male
912,"Francolin, swainson's",Francolinus swainsonii,17,Female
913,Plains zebra,Equus burchelli,7,Female
914,"Bettong, brush-tailed",Bettongia penicillata,20,Male
915,Magnificent frigate bird,Fregata magnificans,5,Female
916,Pied cormorant,Phalacrocorax varius,14,Female
917,Sulfur-crested cockatoo,Cacatua galerita,14,Male
918,Tailless tenrec,Tenrec ecaudatus,2,Female
919,"Gonolek, burchell's",Laniaurius atrococcineus,19,Non-binary
920,Red-billed toucan,Ramphastos tucanus,3,Female
921,"Brocket, brown",Mazama gouazoubira,15,Female
922,"Shark, blue",Prionace glauca,25,Female
923,"Kudu, greater",Tragelaphus strepsiceros,5,Female
924,Rufous-collared sparrow,Zonotrichia capensis,19,Male
925,"Langur, hanuman",Semnopithecus entellus,3,Female
926,Brazilian otter,Pteronura brasiliensis,1,Male
927,"Otter, oriental short-clawed",Aonyx cinerea,12,Female
928,Goliath heron,Ardea golieth,12,Female
929,Squirrel glider,Petaurus norfolcensis,14,Male
930,"Dik, kirk's dik",Madoqua kirkii,17,Female
931,"Coot, red-knobbed",Fulica cristata,13,Male
932,Sarus crane,Grus antigone,7,Female
933,"Sloth, two-toed tree",Choloepus hoffmani,16,Male
934,"Brocket, red",Mazama americana,18,Male
935,"Sifaka, verreaux's",Propithecus verreauxi,26,Male
936,"Hen, sage",Centrocercus urophasianus,9,Female
937,"Vulture, oriental white-backed",Gyps bengalensis,8,Male
938,"Fox, grey",Vulpes cinereoargenteus,14,Female
939,Southern right whale,Eubalaena australis,29,Female
940,"Cat, european wild",Felis silvestris lybica,19,Non-binary
941,"Goose, greylag",Anser anser,17,Male
942,"Lemur, ring-tailed",Lemur catta,23,Female
943,Blue and gold macaw,Ara ararauna,29,Female
944,"Vulture, white-rumped",Gyps bengalensis,21,Female
945,Blue-faced booby,Sula dactylatra,8,Male
946,Cape white-eye,Zosterops pallidus,24,Polygender
947,"Cockatoo, red-tailed",Calyptorhynchus magnificus,2,Female
948,Greater kudu,Tragelaphus strepsiceros,25,Female
949,Hawk-headed parrot,Deroptyus accipitrinus,2,Male
950,"Fowl, helmeted guinea",Numida meleagris,19,Male
951,Black bear,Ursus americanus,16,Polygender
952,Burrowing owl,Speotyte cuniculata,2,Bigender
953,"Ibis, sacred",Threskionis aethiopicus,14,Male
954,"Lion, south american sea",Otaria flavescens,15,Female
955,"Screamer, southern",Chauna torquata,9,Male
956,Large-eared bushbaby,Galago crassicaudataus,26,Female
957,"Monitor, white-throated",Varanus albigularis,5,Male
958,Leopard,Panthera pardus,26,Female
959,Horned rattlesnake,Crotalus cerastes,18,Female
960,Long-crested hawk eagle,Lophoaetus occipitalis,26,Male
961,"Stork, openbill",Anastomus oscitans,13,Female
962,American racer,Coluber constrictor,9,Female
963,"Albatross, galapagos",Diomedea irrorata,27,Female
964,Snake (unidentified),unavailable,8,Male
965,Manatee,Trichechus inunguis,8,Male
966,Eurasian beaver,Castor fiber,26,Female
967,"Mynah, indian",Acridotheres tristis,7,Female
968,Azara's zorro,Pseudalopex gymnocercus,11,Female
969,Giraffe,Giraffe camelopardalis,12,Male
970,Indian giant squirrel,Ratufa indica,12,Female
971,Red-knobbed coot,Fulica cristata,5,Genderfluid
972,Dusky rattlesnake,Crotalus triseriatus,1,Male
973,Timber wolf,Canis lupus lycaon,28,Male
974,Bird (unidentified),unavailable,13,Female
975,"Owl, burrowing",Speotyte cuniculata,30,Female
976,"Bird, black-throated butcher",Cracticus nigroagularis,21,Female
977,"Goose, knob-nosed",Sarkidornis melanotos,4,Female
978,Butterfly (unidentified),unavailable,28,Agender
979,Swamp deer,Cervus duvauceli,14,Agender
980,"Hornbill, yellow-billed",Tockus flavirostris,30,Male
981,"Cat, native",Dasyurus viverrinus,6,Male
982,Caracal,Felis caracal,1,Female
983,European shelduck,Tadorna tadorna,22,Male
984,Horned rattlesnake,Crotalus cerastes,19,Polygender
985,Little blue penguin,Eudyptula minor,23,Male
986,Western patch-nosed snake,Salvadora hexalepis,6,Male
987,Roseate cockatoo,Eolophus roseicapillus,23,Male
988,Paradoxure,Paradoxurus hermaphroditus,20,Female
989,Jungle kangaroo,Macropus agilis,24,Male
990,Laughing dove,Streptopelia senegalensis,18,Male
991,Black-throated butcher bird,Cracticus nigroagularis,17,Male
992,"Weaver, sociable",Philetairus socius,28,Male
993,"Anteater, australian spiny",Tachyglossus aculeatus,12,Male
994,"Wallaby, euro",Macropus robustus,4,Male
995,"Turkey, common",Meleagris gallopavo,5,Male
996,"Legaan, ground",Varanus sp.,3,Female
997,Short-nosed bandicoot,Isoodon obesulus,25,Genderfluid
998,Mule deer,Odocoileus hemionus,28,Genderfluid
999,"Macaque, japanese",Macaca fuscata,6,Female
1000,"Wagtail, african pied",Motacilla aguimp,9,Male
